eer,swipes,batch
0.04204334962847547,102,0
0.08060984539764272,841,1
0.08034591219415112,749,0
0.07658264774921864,3308,1
0.03465346534653478,1008,0
0.05668447777784101,133,0
0.06575147333996736,3640,1
0.15623125480982997,3951,1
0.12798568165310598,3255,1
0.1064263413908876,1036,0
0.032321950050124275,125,0
0.037908780615301875,824,0
0.05344209000276781,876,0
0.0458031869391642,1800,1
0.0978003645640577,786,0
0.0571745279639165,837,0
0.007751937984496447,642,0
0.02422020194278925,322,0
0.05634274811388493,3160,1
0.059458440165218715,3571,1
0.12077183495674616,3128,1
0.16500008896201282,2256,1
0.08799313052011777,944,0
0.029863962445160867,836,0
0.07999999999999984,625,0
0.06516500964026094,901,0
0.1976941098193721,893,0
0.009068673353638975,651,0
0.07063008277418402,904,0
0.1529090476364368,1466,0
0.05319257418629984,2746,1
0.0714792232085727,808,0
0.020103382615387112,2462,1
0.10114845802721803,848,0
0.10968681313585649,3698,1
0.04797168689064329,2925,1
0.11156112808883888,1895,1
0.21301565102361683,848,0
0.04504504504505864,552,0
0.09090235548330253,832,0
0.04347826086956506,804,0
0.13186813186813187,907,1
0.07623055119525127,3740,1
0.20336827141203978,2307,1
0.049236806494423774,900,0
0.02857142857142861,347,0
0.12255292391441751,3498,1
0.1048951048948118,713,0
0.05185185185185551,675,0
0.03028536325998744,694,0
0.09523809523809518,101,0
0.0436664541391817,944,1
0.0860927152317881,753,0
0.12455577013083378,3195,1
0.008382762182822946,3537,1
0.15080527086397266,3413,1
0.027265190221361372,3543,1
0.0518488612785183,906,0
0.11640473687109933,118,0
0.053892215568987996,832,0
0.0407876230660911,3551,1
0.044584765176901464,179,0
0.007339098022081881,3357,1
0.07264505193765408,321,0
0.03468208092485549,862,0
0.00621118012422363,803,0
0.03027374764106827,976,0
0.05181827196999388,908,0
0.13027388552693064,824,0
0.20136986301373647,3647,1
0.09419856548231624,3754,1
0.18099126406118687,727,0
0.07281553398058253,1029,0
0.010753688688023394,849,0
0.0806326793836762,2255,1
0.21791044776119406,3349,1
0.11525220321640706,3417,1
0.07605914017308897,3362,1
0.22904994794820627,610,0
0.06854364087063602,3417,1
0.0712223591570883,878,0
0.07184158794758698,3243,1
0.04336109645001134,3425,1
0.09476767707803657,3637,1
0.025447367639730385,858,0
0.05273181248894372,393,0
0.3766233766233454,768,0
0.129822282999869,3549,1
0.10644458089367712,2886,1
0.018987341772296495,788,0
0.06831634422782751,122,0
0.09535056563592055,109,0
0.1442946883793792,131,1
0.07561213190771064,3493,1
0.050000000000160284,100,0
0.06339712918612804,4180,1
0.08194813452317526,3898,1
0.07286862343862863,769,0
0.14025500910749053,2744,1
0.07472799320507807,774,0
0.05652173913035371,2300,1
0.024321771753378213,3395,1
0.05694363632597648,3640,1
0.04647279133966579,823,0
0.14570340248791008,840,0
0.1225328203117257,3553,1
0.1644171390234386,748,0
0.07618348537555941,849,0
0.04964539007092458,704,0
0.10667710309464744,979,0
0.01598837209302332,3437,1
0.06660558397644076,976,0
0.07878378838221262,616,0
0.08875739644970412,845,0
0.05638067697975545,707,0
0.11447120654281781,761,0
0.15854163150408732,526,0
0.1688757665906459,991,0
0.04817157605061734,3573,1
0.06827879727471903,837,0
0.1991523154926225,883,0
0.10988551828014848,854,0
0.028950350352094173,945,0
0.09523809523809526,103,1
0.101719197707739,3486,1
0.048175182481751816,3425,1
0.06906077348049067,3619,1
0.15973557282129272,747,0
0.047245750667121236,269,0
0.12863552164800307,1144,1
0.07183545585866127,3609,1
0.06592121775467134,502,0
0.1011519039179843,3375,1
0.09032258064516124,775,1
0.07848837209302327,3439,1
0.0655657085140474,783,0
0.06585732814422449,808,0
0.11693836641675652,3456,1
0.1329332182370056,3030,1
0.11446411406912173,1704,1
0.03089328100916893,101,1
0.05889730921006339,121,0
0.22831050228309688,1092,0
0.111768291112903,1000,0
0.06370245847322503,748,0
0.09133126934984523,3227,1
0.16205436337679938,900,0
0.10000000000001164,149,1
0.10635874330702065,3596,1
0.054641242015944794,3434,1
0.06748466257663734,811,0
0.125,760,0
0.1611982881597718,3503,1
0.3597560975609732,817,0
0.09649122807039942,567,0
0.040935672514649114,852,0
0.04000410625893935,111,0
0.1373362609929483,1865,1
0.05859184078690128,286,0
0.09343065693409408,3425,1
0.03647625981748825,664,0
0.04651162790677266,3653,1
0.09392265193371369,903,0
0.2453476495019312,820,0
0.06720302389431518,3525,1
0.035219276521114375,845,0
0.0222882615156018,3364,1
0.12550242816285007,581,0
0.04596100278551523,3589,1
0.037936423754015784,663,0
0.1984581829995387,1118,1
0.09726015957110937,891,0
0.03460710629327761,3752,1
